ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
e6295ae1-f9fe-415a-b7c7-5005696dd14a,1955-06-16,2017-07-06,999-11-8071,S99961497,X66963737X,Mrs.,Georgiann138,Schaefer657,,Champlin946,M,white,irish,F,Beaverdam village,1040 Harvey Overpass Apt 93 Cincinnati Ohio 45202 US
efa34554-61c4-4887-91ea-5590a07325f8,2015-04-24,,999-91-5453,,,,Gerardo48,Nicolas769,,,,white,irish,M,North Ridgeville,711 Bernier Dale Columbus Ohio 43002 US
c6c14880-18b1-4743-8e6e-e280278abdf1,1948-10-18,,999-25-7273,S99929704,X52078541X,Ms.,Luis923,Predovic534,,,S,white,greek,F,Tallmadge,462 Mraz Meadow Columbus Ohio 43002 US
85117eaf-feb3-408b-811e-c346ffab7438,2015-09-25,,999-75-3312,,,,Mariah942,Huels583,,,,white,american,F,Columbus,473 Pacocha Extension Suite 80 Cincinnati Ohio 45202 US
bc9d2ed9-876f-460a-8808-66932360c1e3,1963-04-02,,999-79-3028,S99911400,X41428292X,Mrs.,Makeda237,Gusikowski974,,Reichert620,M,white,english,F,Avon,197 Cartwright Park Suite 29 Piqua Ohio 45356 US
027ff876-fc4d-4de3-9a17-6f4a1bbe0575,1974-03-01,,999-44-7972,S99934285,X10024202X,Mr.,Alvin56,Vandervort697,,,M,white,polish,M,Waldo village,1001 Davis Quay Cleveland Ohio 44101 US
4502390b-db64-4af2-adc3-7a7d953cb84e,1994-10-17,,999-69-8685,S99953821,X69185238X,Mr.,Wilbert25,Hermann103,,,,white,english,M,Colerainship,1015 Harris Station Springfield Ohio 45502 US
3394ee64-5f8e-45e3-9dd7-f898c07521d2,1987-11-28,,999-68-7290,S99964275,X58004843X,Mr.,Keneth579,Barrows492,,,M,white,irish,M,Cleveland,372 Rippin Rapid Keeneship Ohio  US
182ee055-fb73-4bd4-9960-36c123e3b1f9,1980-03-26,,999-27-8302,S99992812,X82130027X,Mrs.,Floy720,Ullrich385,,Cummings51,M,white,irish,F,Solon,812 Oberbrunner Burg Suite 77 Columbus Ohio 43002 US
f7ebd1b6-8d31-4558-a9da-5ff663d7f451,2018-03-14,,999-14-9397,,,,Blake449,Sauer652,,,,white,italian,M,Minerva village,625 Gerlach Mall Unit 30 Columbus Ohio 43002 US
9fefa97f-a525-4f2f-87ab-7e1a3e544ca1,1954-03-05,,999-87-7678,S99923623,X60443144X,Mr.,Javier97,Rutherford999,,,M,white,irish,M,Harrisvilleship,770 Bode Ferry Suite 39 Steubenville Ohio 43938 US
5c5bd6da-b6b6-4d11-b493-190d647a3891,2008-04-24,,999-18-7193,,,,Toney527,Dibbert990,,,,white,english,M,Newark,385 Breitenberg Esplanade Suite 79 Colerainship Ohio  US
faadcbb0-6ded-42f2-be21-fcc9b9e441da,1966-10-09,,999-30-2480,S99918578,X28119650X,Mrs.,Else33,Bode78,,Hyatt152,M,white,irish,F,Lorain,148 Walter Loaf Shawneeship Ohio  US
6aa566e3-f549-48b4-9a09-0625dbefb0e7,1954-10-11,,999-69-5562,S99927133,X30981169X,Mr.,Carlos172,Narváez57,,,M,black,dominican,M,Northfield village,1073 Cummerata Rapid Unit 43 Wooster Ohio 44691 US
770cd803-b415-431d-a915-732b46f0109d,1980-05-29,,999-64-7840,S99950466,X44022895X,Mrs.,Ester635,Olivárez848,,Jáquez824,M,black,dominican,F,Texasship,634 Jakubowski Loaf Unit 84 Shaker Heights Ohio 44118 US
d1227a4d-f514-424c-90dd-c6b95e8bab18,1971-09-05,,999-81-3169,S99943571,X39863236X,Mr.,Bennie663,Krajcik437,,,S,white,french,M,Columbus,834 Waelchi Orchard Suite 17 Lorain Ohio 44001 US
f2036930-c52e-4bea-aec2-6ab5e1da6b23,2010-12-13,,999-20-5373,,,,Walter473,Veum823,,,,white,english,M,Columbus,621 Lang Esplanade Tipp City Ohio 45371 US
820b8bab-351e-466b-873b-166c4012a17c,1974-02-15,,999-19-8466,S99966791,X11477072X,Mr.,Everett935,Fay398,,,M,black,african,M,Bellevue,935 Hoeger Ville West Carrollton Ohio 45342 US
f1874d87-ba43-40b0-aacb-ce15c9082572,2000-08-09,,999-30-7772,S99999787,,,Lavonne167,Padberg411,,,,white,french_canadian,F,Columbus,552 Heller Gate Apt 11 Bathship Ohio  US
72872ef9-8231-4b79-bc08-fabae61f1e68,1960-05-19,,999-30-4814,S99922317,X62812031X,Mrs.,Rosina706,Walsh511,,Leannon79,M,black,west_indian,F,Montvilleship,1023 Runte Well Vandalia Ohio 45371 US
14df3fc3-61c2-41dd-9b65-91832ace2673,1938-10-05,1999-09-24,999-19-9552,S99938317,X1108409X,Mrs.,Trisha327,Borer986,,Pagac496,M,white,portuguese,F,Columbus,339 Stanton Pathway Suite 62 Rugglesship Ohio  US
595eb8bf-bc81-4075-b0b0-c031643c17b4,1979-07-24,,999-10-8302,S99938933,X36203221X,Ms.,Renata373,Bode78,,,S,white,italian,F,Toledo,570 Weber Lodge Apt 43 Coshocton Ohio 43812 US
1be41b23-b6c9-442c-abfc-2deaa4a0cde5,1950-12-14,,999-50-9186,S99916390,X36975753X,Mrs.,Belen306,Schuppe920,,Maggio310,M,white,italian,F,Unionship,928 Lindgren Port Cleveland Ohio 44101 US
3eb451ad-2a0c-4a91-bd5c-1dc5592255dd,1998-04-20,,999-51-9098,S99936001,X34263707X,Ms.,María Luisa888,Molina998,,,,black,dominican,F,Zanesville,228 Smitham Vista Willoughby Ohio 44094 US
e655771d-2607-47cd-a385-1fb8d14f7560,1987-03-04,2011-10-15,999-83-7560,S99998445,X30764705X,Ms.,Maryland870,Gutmann970,,,,white,greek,F,Alliance,1002 Stanton Underpass Gahanna Ohio 43004 US
e76fdd15-f834-4cbb-9e90-9c6b47b0a939,2018-03-30,,999-35-1584,,,,Ahmad985,Parisian75,,,,asian,chinese,M,Gahanna,327 Rippin Gate Apt 93 Gahanna Ohio 43004 US
31ef01a4-dec0-48d6-bc2a-98caf4805d1d,2003-10-16,,999-21-7464,,,,Glenn0,Gottlieb798,,,,white,russian,F,Akron,314 Tromp Key Portsmouth Ohio 45662 US
b309e5ba-ffbe-4be1-b606-50f043cd625a,1986-10-06,,999-51-8557,S99927661,X11346009X,Mrs.,Tammi724,Wintheiser220,,Ratke343,M,white,irish,F,Toledo,971 Schiller Byway Apt 67 Dayton Ohio 45377 US
69d5d55e-1923-40f4-8ef2-477b46ca2f9b,1995-05-27,,999-88-2185,S99928007,X10651181X,Ms.,Hilde556,Schinner682,,,,white,irish,F,Springfieldship,205 Jacobson Club Rugglesship Ohio  US
1e309ae3-199b-4361-a349-05d8270c37de,1952-09-04,,999-23-3005,S99939585,X67677158X,Mrs.,Meri607,Kuhlman484,,Muller251,M,black,west_indian,F,Miamiship,1042 Cummings Bypass Apt 93 Pepper Pike Ohio 44122 US
cf58d409-9f01-4bc8-a171-07f643467687,2013-03-14,,999-87-8779,,,,Kyle55,Padberg411,,,,white,english,M,Tiffin,1022 Buckridge Bypass Suite 36 Southingtonship Ohio  US
4274d7b0-c934-446a-9fae-1d1b4054263a,1966-05-10,1996-08-13,999-27-4581,S99984168,X4376346X,Ms.,Polly738,Howe413,,,S,white,portuguese,F,Kettering,704 Ortiz Skyway Kingstonship Ohio  US
9637412b-ce6e-4a91-9c1f-9605f75669fd,1981-06-03,,999-47-7259,S99919871,X3740578X,Mrs.,Jazmin969,Howe413,,Nitzsche158,M,white,italian,F,Trenton,1029 Kuphal Course Miamisburg Ohio 45342 US
a03768d5-1514-4bab-bb53-3c8a569ca03c,2008-02-10,,999-59-2427,,,,Thanh759,Greenholt190,,,,white,irish,M,Columbus,421 Jast Green Apt 69 Andersonship Ohio  US
b6cb0e63-8631-483c-8753-566e8842d9fd,2007-07-02,,999-54-6546,,,,Daisey627,Harris789,,,,white,greek,F,Canton,772 Zieme Loaf Apt 78 Kingstonship Ohio  US
2352e67c-7c55-45ee-a3ea-35a98958af9a,2016-11-09,,999-47-9476,,,,Melodie819,Murray856,,,,black,african,F,Fremont,366 Dach Mission Apt 8 Warrensville Heights Ohio 44122 US
e93a9d6e-caf1-4a40-bcb5-9a3cf36080f4,1974-09-04,,999-63-2708,S99967859,X46542685X,Mrs.,Ozell178,Fadel536,,Douglas31,M,white,english,F,Sandusky,300 Thiel Junction Gahanna Ohio 43004 US
a426be9b-5310-4de3-bd23-b66ed1a818cd,1953-10-24,,999-82-1535,S99916728,X49411538X,Mr.,Tristan353,Torphy630,,,M,black,african,M,Richmond Heights,142 Bogisich Corner Suite 12 Wilmington Ohio 45177 US
b18d0485-61e6-4411-a9b7-80296bde8389,1953-07-21,,999-17-7357,S99935657,X70473208X,Ms.,Enriqueta274,Towne435,,,S,white,italian,F,Mason,396 Dibbert Byway Cincinnati Ohio 45202 US
cc096fc7-28a6-42f6-a8b1-bad9fdd957f5,2017-03-31,,999-88-3907,,,,Van763,Altenwerth646,,,,white,greek,M,Dayton,317 Koepp Stravenue Akron Ohio 44203 US
37ebe11f-25a3-48ce-9ff6-bac2677e2af5,1982-05-24,,999-55-9619,S99995076,X31016355X,Mr.,Mickey576,Zemlak964,,,M,white,french,M,Toledo,485 Jacobi Burg Andersonship Ohio  US
49587d99-1f5c-4300-8490-588be9980566,2008-11-02,,999-90-4365,,,,Celine582,Hills818,,,,white,american,F,Parma Heights,970 Hegmann Mill Suite 13 Rossship Ohio  US
4a9944b4-69b8-4dc5-a44e-4654ea4ddfce,1955-05-02,,999-23-4040,S99938592,X35748675X,Mrs.,Fredericka800,Lakin515,,Powlowski563,M,white,irish,F,Ottawa village,717 Gutmann Gate Suite 79 Columbus Ohio 43002 US
a860109e-3f0f-42fb-9213-e4d5be95c3c3,1957-01-19,,999-38-1747,S99971717,X50859748X,Mr.,Pablo44,Kohler843,,,S,hispanic,mexican,M,Toledo,829 Lubowitz Rue Middleburg Heights Ohio 44017 US
e1c4b33c-1af3-4e09-9cec-a255f51d0bc5,1966-05-27,,999-16-1139,S99936863,X52207292X,Mrs.,Augustine565,Robel940,,Thompson596,M,white,english,F,Lebanon,1036 Rau Glen Apt 71 Beachwood Ohio 44122 US
e6074d5d-79cc-4c35-8f17-bbb851043f0b,1967-01-11,,999-92-7123,S99965000,X51543274X,Mrs.,Matthew562,Nitzsche158,,Walker122,M,white,portuguese,F,Cincinnati,645 Mante Extension Suite 22 Columbus Ohio 43002 US
dbd58789-a954-49c6-9363-6d0eff492f31,1985-06-23,,999-95-5914,S99984679,X87257434X,Mrs.,Reta616,Hayes766,,Stehr398,M,white,english,F,Shaker Heights,1086 Herzog Mews Apt 95 Fremont Ohio 43420 US
b8527ad9-d74d-4c48-8e53-b1dd11f1e2b0,1999-07-09,,999-80-5065,S99981889,,Mr.,Max124,Ratke343,,,,white,american,M,Forest Park,1056 Blanda Spur Suite 24 Pataskala Ohio 43062 US
a0c74949-cc1f-4ce6-9d03-adee07aa7c51,1986-05-29,,999-15-8256,S99918000,X38540035X,Mrs.,Breana975,Jacobi462,,King743,M,white,greek,F,Cleveland,121 Bernhard Dam Suite 57 Painesville Ohio 44045 US
b2dfdbe9-3574-4375-80c3-864b9897920d,1973-06-02,,999-35-5646,S99922105,X31969378X,Mrs.,Steven797,Spencer878,,Konopelski743,M,black,african,F,Columbus,251 Ritchie Pathway Shaker Heights Ohio 44118 US
620828ca-13e4-43b7-93f7-c6eb16cff1dd,1962-11-03,,999-39-1103,S99949934,X15591555X,Mr.,Alejandro916,Hand679,,,M,white,french,M,Cleveland Heights,217 Sawayn Trafficway Miamiship Ohio  US
4cf6465d-37df-464c-808c-0cfcf9ed0677,2002-05-17,,999-48-8444,,,,Moses679,Schmitt836,,,,white,english,M,Upper Arlington,902 Kohler Rapid Columbus Ohio 43002 US
3e0aa04d-28a2-44b8-948f-1644057b8fdb,1993-01-10,,999-44-6547,S99979912,X36755798X,Ms.,Michelina932,Nader710,,,,white,italian,F,Miamiship,152 Dietrich Tunnel Elyria Ohio 44035 US
8c9c6aa0-6789-4f3b-8944-66c771dc32d1,1977-06-25,,999-83-6278,S99910229,X44764470X,Mr.,Justin359,Lynch190,,,M,white,french,M,Columbus,317 Bogan Dale Unit 61 Cincinnati Ohio 45202 US
0d76662c-f579-4f3d-bde1-cd5e338bffad,2014-01-16,,999-81-6720,,,,Miles206,Johns824,,,,white,irish,M,Columbus,315 Lind Lock Suite 55 Avon Ohio 44011 US
0e9b0dd4-1dbd-4224-9046-3139d515fb02,2004-11-25,,999-58-4993,,,,Chas63,Blick895,,,,white,italian,M,Gahanna,1028 Greenfelder Fork Columbus Ohio 43002 US
2fd63a7a-bdde-4706-a803-21f63506818b,1970-06-13,,999-81-1434,S99928773,X26020153X,Mrs.,Kami26,Lueilwitz711,,Von197,M,white,irish,F,Cleveland,912 Terry Green Mason Ohio 45036 US
a4705d2a-d0b3-4943-90ce-fc4c359d42ab,1977-03-14,,999-98-4227,S99961852,X12972668X,Mrs.,Eliana466,Walker122,,Kiehn525,M,white,german,F,Bowling Green,241 Kris Vista Suite 27 Colerainship Ohio  US
c5267de8-8705-497b-b4d5-53f3e173e2c1,2013-03-16,,999-50-6064,,,,Nathaniel596,Bradtke547,,,,white,irish,M,Cincinnati,200 Ryan Loaf Unit 3 Elyria Ohio 44035 US
c7ee1895-301e-43bc-88f8-8c7103d2e3af,1975-09-26,,999-93-4757,S99994171,X56765337X,Mrs.,Earlean804,Kessler503,,Lowe577,M,white,english,F,Parma,944 Kulas Overpass Heath Ohio 43023 US
e28ad353-0b42-4942-b3c0-ab1748a58f50,1997-05-04,,999-25-7163,S99979155,X82113766X,Mr.,Shon148,Dickens475,,,,white,irish,M,Newark,713 Kemmer Throughway Canton Ohio 44641 US
5b646dbc-a6aa-46e8-8b5d-1f921df4a023,1975-01-05,,999-64-8863,S99926513,X72295393X,Mrs.,Rachell479,Johnson679,,Marvin195,M,white,irish,F,Delhiship,447 Carter Haven Lorain Ohio 44001 US
b6b7ca6b-c371-422f-875f-4f796d6396f4,1930-10-01,,999-52-5020,S99954072,X19771183X,Mrs.,Ora550,Rosenbaum794,,Walter473,M,white,english,F,Columbus,970 MacGyver Mall Spencership Ohio  US
111bc2a0-9f2b-43f4-a37c-bfc603951f42,2001-10-15,,999-90-7047,S99937139,,,Jc393,Welch179,,,,white,english,M,Streetsboro,1067 Bayer Camp Apt 34 Dayton Ohio 45377 US
0c8d6d4c-a3ee-48ea-8114-d62b75691864,1982-01-31,,999-70-5460,S99997803,X15575926X,Mr.,Brendan864,Watsica258,,,M,white,irish,M,Parma,101 Blanda Byway Highland Heights Ohio 44143 US
e7ef2da9-f3c6-4eba-9939-714026c3233d,1992-06-17,,999-74-1710,S99923586,X19401999X,Mr.,Micah422,Gerlach374,,,,white,italian,M,Caldwell village,846 Howell Green Cleveland Ohio 44101 US
b1e9c829-8891-43ff-a015-a8507bac69b9,2016-05-09,,999-59-4431,,,,Hildred696,Kris249,,,,white,scottish,F,Lakewood,681 Goyette Spur Columbus Ohio 43002 US
34cd7474-dad9-4674-9be7-7d9ff9d9db95,1983-12-23,,999-56-7404,S99974217,X63002784X,Mr.,Rafael239,Schimmel440,,,M,white,italian,M,Belpre,634 Hoeger Gardens Unit 23 Cleveland Ohio 44101 US
b07ae0ad-83de-4a66-937e-230be928a855,1947-01-30,,999-73-6506,S99974061,X74766502X,Mrs.,Maureen515,Gorczany269,,Dietrich576,M,white,american,F,Warrensville Heights,290 Haley Passage Columbus Ohio 43002 US
254d31f8-5a11-4760-bcf9-b1e1b1059384,1954-07-25,,999-12-8359,S99910174,X34725660X,Mrs.,Roxana439,Dooley940,,Powlowski563,M,white,italian,F,Howardship,1001 Bruen Parade Suite 13 Cleveland Ohio 44101 US
5becd77e-331d-4098-bdf2-7d70f9a71bca,1990-03-25,,999-14-3109,S99987275,X21768715X,Mr.,Lesley194,Waelchi213,,,M,black,african,M,Mayfield Heights,572 Beahan Street Toledo Ohio 43537 US
25795b5b-661b-44f5-99b2-14ac3c2d2ed0,1975-11-27,,999-47-7481,S99946268,X64361774X,Mr.,Jackson413,Waters156,,,S,white,french,M,Bryan,590 O'Connell Rest Suite 14 Kettering Ohio 45409 US
ed48262a-5fd2-4677-951b-8eccbcafed97,2016-05-05,,999-64-3597,,,,Lucas404,Boyle917,,,,white,italian,M,Columbus,112 Balistreri Bypass Apt 18 Springfield Ohio 45502 US
fc796160-7ea2-4363-a671-f729b07ad46f,1961-06-25,,999-98-7052,S99934680,X4671743X,Mrs.,Chantelle310,Haag279,,Hegmann834,M,white,german,F,Springfield,233 Jast Harbor Unit 43 Tiffin Ohio 44883 US
5c35c1c1-15f9-45ee-abcb-d2045e4f283d,1985-12-27,,999-80-2948,S99952222,X3729326X,Mr.,Wes853,Jones311,,,M,white,english,M,Cleveland,346 Murphy Ranch Newark Ohio 43023 US
705988d1-5a22-488f-b8d5-81c608a01ef9,1991-12-13,,999-39-8798,S99992598,X18894168X,Ms.,Lilly908,Nienow652,,,,white,german,F,Orrville,948 Hyatt Parade St. Clairship Ohio  US
ac3f8478-714a-4dda-a01a-b25e16dd3314,1982-05-31,2017-06-05,999-83-1209,S99958540,X13945900X,Mrs.,Bree992,Oberbrunner298,,Hermiston71,M,white,irish,F,Kent,824 Koelpin Grove Suite 63 Coventryship Ohio  US
e760c700-3372-4daf-942e-13a32c41e3f6,1986-09-18,,999-21-2597,S99995523,X22195670X,Mrs.,Larae985,Koepp521,,Kihn564,M,asian,chinese,F,Columbus,624 Jenkins Course Suite 34 Worthington Ohio 43085 US
05130652-82ce-452b-be41-3ca6d171f703,1908-02-01,2006-08-19,999-27-4877,S99993533,X59076763X,Mr.,Jorge Luis88,Garibay313,,,M,black,dominican,M,Cleveland,502 Bins Way Unit 34 Toledo Ohio 43537 US
48480feb-2812-4487-9880-efe9170ced55,1968-01-14,,999-58-2534,S99996846,X33559543X,Ms.,Danyelle408,Murray856,,,S,white,irish,F,Green,929 Champlin Annex Apt 92 Andersonship Ohio  US
5d791706-7b45-4559-bed3-18da7da65076,1975-02-22,,999-46-6660,S99962838,X18100468X,Mrs.,Amy965,Kub800,,Marquardt819,M,white,italian,F,Southingtonship,1007 Purdy Fork Suite 25 Ballvilleship Ohio  US
0711db32-6748-4c83-a22b-7b66c307b2f0,1955-11-27,,999-98-6164,S99955112,X11401567X,Mr.,Normand813,Kutch271,,,S,white,portuguese,M,Middleburg Heights,947 McLaughlin Burg Suite 15 Gahanna Ohio 43004 US
7c7cc8df-1ff9-4a56-b162-6007083543c4,1999-08-12,,999-44-1585,S99941463,,Ms.,Delana41,Wehner319,,,,white,english,F,Cincinnati,910 Tremblay Park Dayton Ohio 45377 US
410b61c1-50c3-4473-b714-68fda4b8fb1c,1958-03-04,,999-54-6226,S99984599,X74316975X,Mrs.,Gloria696,Hansen121,,Klein929,M,white,irish,F,Columbus,862 Smitham Bridge Kettering Ohio 45409 US
6d91f75b-4bdf-4925-830e-1776da7c299d,1949-05-20,1968-03-22,999-96-7061,S99939334,,Mr.,Reggie481,Kulas532,,,,white,polish,M,Jackson,893 Bayer Orchard Toledo Ohio 43537 US
ed796f31-ffef-4432-81ce-d803b6bba598,2004-12-05,,999-10-5547,,,,Granville802,Kunze215,,,,white,portuguese,M,Cassship,527 Hyatt Club Suite 11 Powell Ohio 43065 US
b4656ca8-e848-4ffb-9e5d-64aec5d58dce,2016-12-04,,999-99-5542,,,,Neda956,Kozey370,,,,white,italian,F,Perkinsship,589 Grant Dale Toledo Ohio 43537 US
68ba5ea2-656f-4306-83f2-ab390a286f3a,1996-10-16,,999-83-3347,S99937590,X75387293X,Mr.,Efren426,Smitham825,,,,black,west_indian,M,Cincinnati,443 Rau Ramp Reading Ohio 45215 US
bcd87e5d-ba51-478e-a67a-b86ed568ad43,1971-11-09,,999-93-8547,S99968799,X17156165X,Mrs.,Lenore883,Crona259,,Dicki44,M,white,american,F,Cleveland,232 Murazik Key Suite 87 Coventryship Ohio  US
55858e6c-9267-4c69-9468-4bb226758678,1966-09-23,1980-08-01,999-79-5837,,,,Maris768,Schuppe920,,,,black,african,F,Toledo,472 Koelpin Track Sycamoreship Ohio  US
e79e3c19-7474-48ed-867b-4c3e850d2e55,1956-12-21,,999-65-3715,S99963328,X45960842X,Mr.,Taylor21,Hilpert278,,,M,white,irish,M,Dayton,715 Kuvalis Bay Suite 98 Kettering Ohio 45409 US
2de845fd-c74e-43cd-aeeb-9a08db6bc1eb,2017-06-11,,999-70-9270,,,,Courtney281,Lockman863,,,,white,irish,M,Twinsburg,512 Bailey Extension Suite 53 Fremont Ohio 43420 US
a06bb962-c9f6-4e3d-91f2-a7d6e5f87cc0,2013-09-21,,999-48-9831,,,,Robbie31,Welch179,,,,white,irish,M,Reminderville village,273 O'Keefe Quay Suite 90 Brooklyn Ohio 44102 US
1041cb7f-b852-4ed9-94e2-f4a7ba6b7282,2001-01-13,,999-77-2312,S99979892,,,Donald774,Bosco882,,,,white,scottish,M,Colerainship,785 Bailey Harbor Centerville Ohio 45685 US
5ce68dfe-e7cb-427c-a551-43a582413b76,1994-11-03,,999-63-6209,S99993427,X43460195X,Mr.,Randall756,Gleichner915,,,,white,italian,M,Ravenna,528 Jacobson Trafficway Marysville Ohio 43040 US
4955a8d1-dffa-4c2b-b662-f05ff47b7c35,1988-10-14,,999-82-9632,S99921533,X22643080X,Mr.,Norris589,Altenwerth646,,,M,white,irish,M,Green,366 Gutkowski Promenade Mantuaship Ohio  US
4a9a204b-de72-4faf-a6a5-0fc01736186d,2001-08-25,,999-54-4893,S99962938,,,Herb645,Crist667,,,,white,irish,M,Brooklyn,540 Barton Extension Apt 88 Kettering Ohio 45409 US
256004a8-5168-4033-afde-c997618114f3,1961-06-06,,999-69-8319,S99966756,X82215287X,Mrs.,Caterina17,Buckridge80,,Grady603,M,white,italian,F,Warren,180 Bednar Bay Ravennaship Ohio  US
a2bb2d0f-6b3f-4967-847d-a7dacf3fbee0,2001-02-27,,999-58-8131,S99965619,,,Burton124,Stroman228,,,,white,irish,M,Sheffieldship,648 Hagenes Frontage road Unit 66 Bainbridgeship Ohio  US
d991ccc2-135c-4836-bb8e-b0e0689c1110,2000-04-14,,999-86-1715,S99993263,,Mr.,Brandon214,Dicki44,,,,white,english,M,Green,401 Hahn Gate Sheffield Lake Ohio 44054 US
8cd61a7e-b185-40a1-9fd3-f085491337c9,1972-11-12,,999-60-6697,S99914743,X20030679X,Ms.,Leonor133,Marín855,,,S,hispanic,central_american,F,Trenton,379 Smith Ville Suite 85 Willard Ohio 44890 US
53e7422d-b8d8-43b0-94fd-abac699babb6,2016-10-21,,999-38-9898,,,,Renea551,Bechtelar572,,,,white,english,F,Woostership,966 Davis Plaza Unit 40 Toronto Ohio 43964 US
0b6aeccf-c6bb-45b8-b30a-827477d328b9,1983-12-29,,999-86-1802,S99985776,X42529472X,Mrs.,Isela504,Bradtke547,,Connelly992,M,black,african,F,Westerville,1000 Braun Crossing Apt 7 Trotwood Ohio 45309 US
a81712f7-0f69-47c4-8d16-955276fc7182,1987-01-16,1987-02-27,999-91-7201,,,,Armand155,Klein929,,,,white,english,M,Columbus,484 Hartmann Rest Unit 66 Kettering Ohio 45409 US
fa3c8fcf-6fca-4501-9655-b103d10c25ba,1970-12-18,,999-68-3314,S99921657,X18620374X,Mrs.,Migdalia164,Waters156,,Conroy74,M,white,polish,F,Sycamoreship,814 Becker Knoll Sycamoreship Ohio  US
a596477c-0f9a-4d16-89ed-f92599348a2e,1974-09-05,,999-36-6936,S99947641,X41840062X,Mrs.,Reginia455,Kozey370,,Weissnat378,M,white,irish,F,Lorain,540 Shields Lock Marysville Ohio 43040 US
4bcd906c-5580-4c43-8e67-a6f60c704ada,2003-01-27,,999-71-4892,,,,Elvira561,Cuellar188,,,,black,west_indian,F,Columbus,815 O'Hara Rapid Unit 15 Parma Ohio 44109 US
a49206ff-92ac-46c1-8b69-0074223e559a,2008-03-09,,999-32-2975,,,,David908,Rolón954,,,,black,dominican,M,Dayton,180 Balistreri Way South Euclid Ohio 44118 US
5c070b59-7eee-401a-a968-a14f822bfc0d,1983-06-13,,999-58-1196,S99948896,X35546855X,Mr.,Trenton748,Deckow585,,,M,black,west_indian,M,Solon,436 Howell Burg Apt 82 Kettering Ohio 45409 US
09f8f701-e2ee-426d-8532-7ff3b94ec780,1978-08-13,,999-12-4441,S99982505,X56210085X,Mrs.,Ninfa662,O'Keefe54,PhD,Wehner319,M,black,african,F,Canton,231 O'Reilly Boulevard Willoughby Ohio 44094 US
37ed0f1f-0178-4b13-9cfe-b58be944c15a,2012-07-23,,999-64-3475,,,,Malika385,Klein929,,,,white,polish,F,Maple Heights,571 Stiedemann Fork Florenceship Ohio  US
88876aaa-d212-444e-89aa-9260ec5ebdd6,2017-11-25,,999-97-7919,,,,Willie882,Metz686,,,,white,french_canadian,F,Cuyahoga Falls,251 Halvorson Fort Alliance Ohio 44601 US
d607018d-6ef9-4786-800b-3848c6d331ae,1977-01-24,,999-12-5090,S99975161,X6243293X,Ms.,Caridad510,Domínquez36,,,S,black,dominican,F,Huber Heights,581 Jerde Track Unit 7 Wilmington Ohio 45177 US
